window,arm,path_mean,ens_ann,sharpe,dd,turnover,池贡献,择时贡献,组件贡献
main,A0_800等权buyhold,0.028265,0.028473,0.132194,-0.365231,1.229235,,,
main,A1_pool30买持,0.025684,0.026812,0.114238,-0.439234,16.863879,,,
main,A2_pool30+五档,0.042702,0.043369,0.236236,-0.292352,5.106245,,,
main,A3_完整栈,0.070377,0.070908,0.65192,-0.109607,8.47314,,,
main,分解,,,,,,-0.001661,0.016557,0.027539
oos,A0_800等权buyhold,0.023138,0.023357,0.113824,-0.294677,0.559317,,,
oos,A1_pool30买持,-0.118655,-0.11761,-1.426745,-0.434611,15.936068,,,
oos,A2_pool30+五档,-0.078389,-0.07818,-1.041133,-0.3098,5.00579,,,
oos,A3_完整栈,-0.047476,-0.047202,-1.216011,-0.208261,7.815832,,,
oos,分解,,,,,,-0.140967,0.03943,0.030978
