window,arm,path_mean,ens_ann,sharpe,dd,turnover,池贡献,择时贡献,组件贡献
main,A1_pool30买持,0.043798,0.045239,0.25521,-0.44647,20.211457,,,
main,A2_pool30+五档,0.032546,0.033267,0.160821,-0.290249,6.372778,,,
main,A3_完整栈,0.067125,0.067893,0.559632,-0.134865,10.697343,,,
main,A0_800等权buyhold,0.06816985645247553,0.0690321527178408,0.3415249064973633,-0.3716433237908803,0.6861339731513819,,,
main,分解,,,,,,-0.023794,-0.011972,0.034626
oos,A1_pool30买持,-0.157778,-0.154626,-1.105594,-0.595817,20.913588,,,
oos,A2_pool30+五档,-0.088513,-0.087554,-0.405557,-0.619124,6.508074,,,
oos,A3_完整栈,-0.070629,-0.068855,-0.727663,-0.413158,10.911098,,,
oos,A0_800等权buyhold,-0.03908973700916035,-0.03746962876852411,-0.2232487565968443,-0.3304872511397311,0.43076330902947935,,,
oos,分解,,,,,,-0.117156,0.067072,0.018699
