window,arm,path_mean,ens_ann,sharpe,dd,turnover,池贡献,择时贡献,组件贡献
main,A0_legacy独立实现,0.07078907347011645,0.0690321527178408,0.3516435624544971,-0.3716433237908803,0.6861339731513819,,,
main,A0_800等权buyhold,0.069912,0.070091,0.359434,-0.376087,1.179335,,,
main,A1_pool30买持,0.041867,0.043333,0.249783,-0.468372,20.049641,,,
main,A2_pool30+五档,0.031285,0.032032,0.160403,-0.338331,6.341611,,,
main,A3_完整栈,0.068625,0.069459,0.589092,-0.134865,10.630322,,,
main,分解,,,,,,-0.026758,-0.011301,0.037427
oos,A0_legacy独立实现,-0.03908973700916034,-0.03746962876852411,-0.22324875659684462,-0.330487251139731,0.43076330902947935,,,
oos,A0_800等权buyhold,0.042364,0.042649,0.232136,-0.473529,0.810411,,,
oos,A1_pool30买持,-0.157778,-0.154626,-1.105594,-0.595817,20.913588,,,
oos,A2_pool30+五档,-0.088513,-0.087554,-0.405557,-0.619124,6.508074,,,
oos,A3_完整栈,-0.070629,-0.068855,-0.727663,-0.413158,10.911098,,,
oos,分解,,,,,,-0.197275,0.067072,0.018699
