,mv
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,388899.811616176
2019-03-01,394799.82819636835
2019-03-04,399873.82585011143
2019-03-05,403754.8602869865
2019-03-06,405197.9729574728
2019-03-07,396031.7953713973
2019-03-08,383633.7104299777
2019-03-11,391792.63412656414
2019-03-12,355708.9424187589
2019-03-13,238611.99437507874
2019-03-14,236909.40325105394
2019-03-15,457161.9335260472
2019-03-18,419101.3243202397
2019-03-19,404853.24857203907
2019-03-20,404603.6855883051
2019-03-21,326310.72108625656
2019-03-22,325540.6568336036
2019-03-25,308837.0658482451
2019-03-26,287117.22401735827
2019-03-27,199066.5194017953
2019-03-28,87702.44972679735
2019-03-29,85836.23718806099
2019-04-01,84581.24793068338
2019-04-02,83502.34140444083
2019-04-03,82961.6277245723
2019-04-04,82513.96016900112
2019-04-08,81936.3783676197
2019-04-09,81337.15529511574
2019-04-10,81198.43876443153
2019-04-11,80828.2123120672
2019-04-12,63286.74432098781
2019-04-15,449261.61955038225
2019-04-16,461253.6265530674
2019-04-17,441480.9860658724
2019-04-18,438483.441852496
2019-04-19,295651.09068947023
2019-04-22,209781.69036625663
2019-04-23,173996.16860738426
2019-04-24,174933.77241426765
2019-04-25,157287.500660269
2019-04-26,156873.01784605862
2019-04-29,154971.26404932933
2019-04-30,444123.8568930809
2019-05-06,415164.5371230231
2019-05-07,406284.1593043012
2019-05-08,389112.9064240126
2019-05-09,14146.872169528055
2019-05-10,14147.960668681899
2019-05-13,14149.049251587856
2019-05-14,14150.137918252365
2019-05-15,401468.2995238389
2019-05-16,399802.9765754732
2019-05-17,389215.7155554842
2019-05-20,388535.33718634123
2019-05-21,262929.0476417082
2019-05-22,208741.65945036814
2019-05-23,206627.78301635248
2019-05-24,206494.09003998712
2019-05-27,165889.7645729596
2019-05-28,155165.22386201163
2019-05-29,154685.86672947835
2019-05-30,153843.19824953735
2019-05-31,323177.28721870616
2019-06-03,319142.6499893094
2019-06-04,304735.9747920428
2019-06-05,292781.3971143886
2019-06-06,175258.07869062107
2019-06-10,150663.53378637266
2019-06-11,140689.8043585295
2019-06-12,131373.29855282177
2019-06-13,131257.15325223788
2019-06-14,130779.88071435448
2019-06-17,130511.10603849292
2019-06-18,130801.54750878748
2019-06-19,131610.1274357094
2019-06-20,132886.9817398949
2019-06-21,133003.00961026925
2019-06-24,107865.63772437802
2019-06-25,107569.6739300908
2019-06-26,95452.81642514646
2019-06-27,95995.40308727574
2019-06-28,95940.66216986046
2019-07-01,96769.80451580248
2019-07-02,96669.31826045176
2019-07-03,96162.0577036367
2019-07-04,96114.75293176646
2019-07-05,85339.59424563748
2019-07-08,65453.323961223745
2019-07-09,65446.31361610068
2019-07-10,42615.220419581005
2019-07-11,23284.169513093773
2019-07-12,23289.201945072902
2019-07-15,385195.40994340734
2019-07-16,384487.11324814364
2019-07-17,384439.870284646
2019-07-18,378795.41840514546
2019-07-19,255753.13132277012
2019-07-22,240421.81600261264
2019-07-23,186090.15036948406
2019-07-24,172992.09353091265
2019-07-25,174232.1505766401
2019-07-26,164847.9311414785
2019-07-29,164791.37167779962
2019-07-30,164923.6206027718
2019-07-31,325990.03487312276
2019-08-01,312578.86929788376
2019-08-02,308992.7462099646
2019-08-05,294904.46753659897
2019-08-06,194544.14452657825
2019-08-07,121782.4785434333
2019-08-08,106323.11311321726
2019-08-09,105563.28130175096
2019-08-12,103588.9848362626
2019-08-13,77855.54212694851
2019-08-14,54189.626456512364
2019-08-15,254141.06887565897
2019-08-16,250628.3092293763
2019-08-19,255016.41271724846
2019-08-20,254040.0659585898
2019-08-21,232952.74918932628
2019-08-22,220985.9092424458
2019-08-23,217053.42338511674
2019-08-26,208293.5983168223
2019-08-27,209436.45712461293
2019-08-28,208951.70618080386
2019-08-29,186140.604517828
2019-08-30,174459.75421221572
2019-09-02,166267.2871167825
2019-09-03,152613.68702407
2019-09-04,141462.5328332606
2019-09-05,142282.55120109505
2019-09-06,142793.15596358024
2019-09-09,141479.6546833337
2019-09-10,137754.321575738
2019-09-11,137354.2067853177
2019-09-12,137799.78573363792
2019-09-16,138096.3228810048
2019-09-17,137305.2818500373
2019-09-18,135063.4063131197
2019-09-19,126174.30501025653
2019-09-20,79854.9615831989
2019-09-23,75518.07240323315
2019-09-24,63502.03113067598
2019-09-25,62820.65397396361
2019-09-26,25483.1521943018
2019-09-27,25534.14043629371
2019-09-30,260056.66762510882
2019-10-08,259417.8223330329
2019-10-09,261414.72493036155
2019-10-10,264464.70726783056
2019-10-11,138636.67438328228
2019-10-14,138923.30117770398
2019-10-15,322398.1859995607
2019-10-16,321220.7141955855
2019-10-17,313486.9686878606
2019-10-18,294675.9557122657
2019-10-21,127136.69003804926
2019-10-22,127446.46398404632
2019-10-23,110803.93182318164
2019-10-24,95335.99170709819
2019-10-25,95250.92947798042
2019-10-28,79015.26818860264
2019-10-29,78619.69989796642
2019-10-30,78318.84548560786
2019-10-31,253776.0819134518
2019-11-01,256046.65698117536
2019-11-04,258402.40072682817
2019-11-05,260175.54580248776
2019-11-06,208771.1367793793
2019-11-07,209080.41574674865
2019-11-08,208922.7414743865
2019-11-11,175396.16484737291
2019-11-12,165071.25004014012
2019-11-13,155422.2601272707
2019-11-14,119514.45317790525
2019-11-15,253859.39204625174
2019-11-18,255402.7147690743
2019-11-19,257579.2462796241
2019-11-20,249215.61668451302
2019-11-21,152105.22370489442
2019-11-22,150743.32007437875
2019-11-25,83833.28373894503
2019-11-26,72706.8937690252
2019-11-27,51859.806330538464
2019-11-28,44413.162212515315
2019-11-29,44385.66486883632
2019-12-02,44469.97787374781
2019-12-03,32509.864092904227
2019-12-04,32513.12608697877
2019-12-05,32538.621190710797
2019-12-06,32560.555641051065
2019-12-09,32576.301735521723
2019-12-10,30466.315014909636
2019-12-11,29030.37808721038
2019-12-12,28080.416076849157
2019-12-13,27465.244256723323
2019-12-16,27077.774761391815
2019-12-17,26829.179079604914
2019-12-18,26231.005133597628
2019-12-19,26237.16210615015
2019-12-20,26254.86318034709
2019-12-23,14701.14858327344
2019-12-24,11234.091748978843
2019-12-25,11234.042366124606
2019-12-26,11243.421441607028
2019-12-27,11243.098638792331
2019-12-30,11249.66434359646
2019-12-31,335701.0977139107
2020-01-02,341900.0557953378
2020-01-03,340795.00100183306
2020-01-06,342612.01531969436
2020-01-07,343279.18393412716
2020-01-08,329275.0807769409
2020-01-09,335098.20836243115
