code,snapshot_last_seen,local_last,baostock_last,residual_suspect
000005,,,2024-04-26,False
000018,,,2020-01-07,False
000023,,,2024-09-02,False
000038,,,2023-07-12,False
000040,2019-12-31,,2025-04-30,False
000043,2019-12-31,,2019-12-16,False
000046,2022-06-30,,2024-02-07,False
000150,2019-06-28,,2023-06-09,False
000413,2024-06-28,,2024-10-11,False
000416,,,2024-06-05,False
000502,,,2022-06-27,False
000540,2022-12-30,,2023-06-30,False
000584,2019-06-28,,2025-07-10,False
000585,,,2022-05-24,False
000587,,,2023-04-03,False
000606,,,2023-07-06,False
000611,,,2022-06-28,False
000613,,,2022-06-29,False
000616,2019-06-28,,2023-08-23,False
000622,,,2025-07-15,False
000627,2025-06-30,,2025-09-29,False
000662,2019-12-31,,2021-04-12,False
000666,,,2023-10-26,False
000667,2020-12-31,,2023-07-14,False
000671,2022-12-30,,2023-08-16,False
000673,,,2022-07-04,False
000687,2019-12-31,,2022-06-17,False
000693,,,2019-07-09,False
000732,2021-06-30,,2023-08-04,False
000760,,,2021-07-23,False
000780,,,2022-01-24,False
000806,,,2023-07-06,False
000835,,,2022-05-23,False
000836,2019-12-31,,2024-08-12,False
000851,2020-12-31,,2025-11-10,False
000861,2022-06-30,,2024-09-18,False
000918,2021-06-30,,2023-07-28,False
000939,,,2020-12-17,False
000961,2022-12-30,,2024-07-11,False
000971,,,2024-07-24,False
000976,2022-06-30,,2024-08-27,False
000982,2022-12-30,,2024-08-12,False
000996,2019-06-28,,2024-06-28,False
002002,2023-06-30,,2024-03-18,False
002013,,,2023-03-17,False
002018,,,2019-11-01,False
002070,,,2019-07-09,False
002071,,,2021-05-07,False
002087,,,2024-06-28,False
002089,,,2024-04-18,False
002113,,,2023-08-11,False
002118,2020-06-30,,2023-08-04,False
002143,,,2019-11-29,False
002147,,,2022-06-23,False
002220,,,2020-08-11,False
002260,,,2022-06-17,False
002280,2021-12-31,,2024-08-16,False
002288,2021-06-30,,2024-08-19,False
002308,2020-06-30,,2024-09-27,False
002325,,,2024-08-15,False
002336,,,2025-07-03,False
002341,2020-06-30,,2024-08-23,False
002359,,,2021-07-23,False
002411,2022-06-30,,2023-07-12,False
002417,,,2023-07-10,False
002433,,,2024-07-05,False
002435,2021-06-30,,2024-08-15,False
002447,2019-12-31,,2022-06-27,False
002450,,,2021-05-31,False
002464,,,2022-06-28,False
002473,,,2022-06-22,False
002477,,,2019-10-16,False
002499,,,2023-04-18,False
002502,,,2024-09-05,False
002503,2020-06-30,,2023-08-11,False
002504,,,2023-08-21,False
002505,2023-12-29,,2024-08-30,False
002509,2019-06-28,,2020-07-20,False
002604,,,2020-07-15,False
002610,2023-12-29,,2024-08-12,False
002618,2020-06-30,,2022-06-22,False
002619,2019-12-31,,2022-04-28,False
002621,2019-12-31,,2024-08-05,False
002665,2023-06-30,,2024-08-26,False
002680,,,2019-11-27,False
002684,,,2022-06-27,False
002699,2020-12-31,,2024-06-05,False
002711,,,2021-07-15,False
002740,,,2024-03-04,False
002750,2019-12-31,,2025-06-26,False
002751,,,2023-07-13,False
002770,,,2022-06-23,False
002776,,,2024-01-25,False
002781,,,2023-07-05,False
300023,,,2022-06-29,False
300028,,,2020-08-03,False
300038,2020-12-31,,2022-06-30,False
300064,,,2022-06-27,False
300089,,,2023-07-13,False
300090,,,2020-08-25,False
300104,2019-06-28,,2020-07-21,False
300108,,,2025-05-28,False
300114,2024-06-28,,2025-02-17,False
300116,2022-06-30,,2024-07-25,False
300117,,,2025-04-30,False
300156,,,2020-08-25,False
300178,2019-06-28,,2022-06-22,False
300202,2019-12-31,,2022-07-04,False
300208,2022-06-30,,2025-07-18,False
300216,,,2020-09-16,False
300262,,,2024-08-19,False
300273,,,2023-07-06,False
300280,2021-06-30,,2025-10-13,False
300282,,,2024-07-18,False
300297,2019-12-31,,2023-07-31,False
300309,2019-06-28,,2023-05-30,False
300312,,,2022-07-04,False
300325,2019-06-28,,2022-06-28,False
