segment,cost,arm,path_mean,ens_ann,sharpe,dd,turnover
main,0.0013,对照_800等权,0.069912,0.070091,0.3594,-0.376087,1.1793
main,0.0013,新臂_800+五档+MA10+拥挤,0.032537,0.033108,0.1716,-0.310931,3.9495
main,0.003,对照_800等权,0.068309,0.068505,0.3515,-0.379657,1.1851
main,0.003,新臂_800+五档+MA10+拥挤,0.022541,0.023133,0.0948,-0.331601,3.9458
oos,0.0013,对照_800等权,0.042364,0.042649,0.2321,-0.473529,0.8104
oos,0.0013,新臂_800+五档+MA10+拥挤,0.040528,0.041124,0.2144,-0.379916,3.0311
oos,0.003,对照_800等权,0.041145,0.041419,0.2283,-0.4741,0.8111
oos,0.003,新臂_800+五档+MA10+拥挤,0.034971,0.035589,0.1806,-0.385969,3.0287
main_2019_2021,0.0013,对照_800等权,0.17678,0.176987,0.8518,-0.173583,1.1622
main_2019_2021,0.0013,新臂_800+五档+MA10+拥挤,0.079431,0.080048,0.4399,-0.15961,4.4236
main_2019_2021,0.003,对照_800等权,0.173421,0.173636,0.8374,-0.173662,1.1632
main_2019_2021,0.003,新臂_800+五档+MA10+拥挤,0.069334,0.069971,0.3824,-0.161144,4.4284
