代码,名称,行业,建仓价(元),股数(股),建仓金额(元),2026-05-11收盘(元),当前市值(元),浮动盈亏(元),涨跌幅(%),状态
300308,中际旭创,通信,886.0,100,88600.0,940.13,94013.0,5413.0,6.11,正常
002384,东山精密,电子,211.39,100,21139.0,218.3,21830.0,691.0,3.27,正常
301308,江波龙,电子,479.99,100,47999.0,556.66,55666.0,7667.0,15.97,正常
300390,天华新能,电力设备,103.45,100,10345.0,105.5,10550.0,205.0,1.98,正常
300502,新易盛,通信,551.67,100,55167.0,563.7,56370.0,1203.0,2.18,正常
002008,大族激光,机械设备,122.06,100,12206.0,134.27,13427.0,1221.0,10.0,正常
600487,亨通光电,通信,77.27,200,15454.0,74.99,14998.0,-456.0,-2.95,正常
000657,中钨高新,有色金属,60.47,300,18141.0,60.64,18192.0,51.0,0.28,正常
301200,大族数控,机械设备,187.78,100,18778.0,201.91,20191.0,1413.0,7.52,正常
688525,佰维存储,电子,290.45,100,29045.0,315.69,31569.0,2524.0,8.69,正常
688702,盛科通信,其他,307.88,100,30788.0,320.02,32002.0,1214.0,3.94,正常
300136,信维通信,电子,101.35,100,10135.0,115.57,11557.0,1422.0,14.03,正常
002281,光迅科技,通信,180.72,100,18072.0,198.79,19879.0,1807.0,10.0,正常
300604,长川科技,电子,182.01,100,18201.0,218.41,21841.0,3640.0,20.0,正常
002353,杰瑞股份,其他,146.38,100,14638.0,144.72,14472.0,-166.0,-1.13,正常
600118,中国卫星,国防军工,114.18,100,11418.0,116.11,11611.0,193.0,1.69,正常
688387,信科移动,通信,21.77,900,19593.0,22.45,20205.0,612.0,3.12,正常
600673,东阳光,综合,39.9,500,19950.0,39.02,19510.0,-440.0,-2.21,正常
300751,迈为股份,电力设备,269.51,100,26951.0,285.88,28588.0,1637.0,6.07,正常
002837,英维克,机械设备,102.28,100,10228.0,102.16,10216.0,-12.0,-0.12,正常
002080,中材科技,建筑材料,62.4,300,18720.0,63.08,18924.0,204.0,1.09,正常
300394,天孚通信,通信,326.3,100,32630.0,331.92,33192.0,562.0,1.72,正常
300757,罗博特科,机械设备,519.2,100,51920.0,512.3,51230.0,-690.0,-1.33,正常
300476,胜宏科技,电子,358.66,100,35866.0,378.24,37824.0,1958.0,5.46,正常
002916,深南电路,电子,320.37,100,32037.0,333.52,33352.0,1315.0,4.1,正常
600176,中国巨石,建筑材料,38.0,500,19000.0,38.01,19005.0,5.0,0.03,正常
301358,湖南裕能,电力设备,97.25,200,19450.0,98.35,19670.0,220.0,1.13,正常
601872,招商轮船,交通运输,19.49,1000,19490.0,18.37,18370.0,-1120.0,-5.75,正常
300857,协创数据,电子,284.5,100,28450.0,283.94,28394.0,-56.0,-0.2,正常
600522,中天科技,通信,40.9,400,16360.0,43.86,17544.0,1184.0,7.24,正常
合计,,,,6400,770771.0,,804192.0,33421.0,4.34,盈利
