日期,方向,代码,名称,行业,手数(手),股数(股),成本价(元),成交价(元),成交金额(元),手续费(元),盈亏(元),盈亏(%),备注
2020-01-14,买入,300598,诚迈科技,计算机,1,100,178.96,178.96,17896.0,22.37,0.0,0.0,纳入持仓池
2020-01-14,买入,002291,遥望科技,传媒,7,700,27.47,27.47,19229.0,24.04,0.0,0.0,纳入持仓池
2020-01-14,买入,002351,漫步者,电子,8,800,22.63,22.63,18104.0,22.63,0.0,0.0,纳入持仓池
2020-01-14,买入,002605,姚记科技,传媒,5,500,36.85,36.85,18425.0,23.03,0.0,0.0,纳入持仓池
2020-01-14,买入,603005,晶方科技,电子,3,300,60.17,60.17,18051.0,22.56,0.0,0.0,纳入持仓池
2020-01-14,买入,600745,*ST闻泰,电子,1,100,106.5,106.5,10650.0,13.31,0.0,0.0,纳入持仓池
2020-01-14,买入,603501,豪威集团,电子,1,100,166.44,166.44,16644.0,20.8,0.0,0.0,纳入持仓池
2020-01-14,买入,300783,三只松鼠,食品饮料,2,200,68.98,68.98,13796.0,17.25,0.0,0.0,纳入持仓池
2020-01-14,买入,300552,万集科技,计算机,1,100,100.47,100.47,10047.0,12.56,0.0,0.0,纳入持仓池
2020-01-14,买入,002201,九鼎新材,建筑材料,9,900,21.1,21.1,18990.0,23.74,0.0,0.0,纳入持仓池
2020-01-14,买入,300661,圣邦股份,电子,0,0,268.83,268.83,0,0,0.0,0.0,"资金不足一手（需26,883元，分配20,000元）"
2020-01-14,买入,300223,北京君正,电子,2,200,89.6,89.6,17920.0,22.4,0.0,0.0,纳入持仓池
2020-01-14,买入,603986,兆易创新,电子,0,0,253.99,253.99,0,0,0.0,0.0,"资金不足一手（需25,399元，分配20,000元）"
2020-01-14,买入,002850,科达利,电力设备,3,300,54.99,54.99,16497.0,20.62,0.0,0.0,纳入持仓池
2020-01-14,买入,002552,宝鼎科技,其他,8,800,24.77,24.77,19816.0,24.77,0.0,0.0,纳入持仓池
2020-01-14,买入,300468,四方精创,计算机,4,400,40.89,40.89,16356.0,20.45,0.0,0.0,纳入持仓池
2020-01-14,买入,600223,福瑞达,美容护理,19,1900,10.45,10.45,19855.0,24.82,0.0,0.0,纳入持仓池
2020-01-14,买入,002045,国光电器,电子,15,1500,12.77,12.77,19155.0,23.94,0.0,0.0,纳入持仓池
2020-01-14,买入,300341,麦克奥迪,医药生物,14,1400,14.23,14.23,19922.0,24.9,0.0,0.0,纳入持仓池
2020-01-14,买入,300433,蓝思科技,电子,11,1100,16.68,16.68,18348.0,22.93,0.0,0.0,纳入持仓池
2020-01-14,买入,603598,引力传媒,传媒,9,900,20.5,20.5,18450.0,23.06,0.0,0.0,纳入持仓池
2020-01-14,买入,603799,华友钴业,有色金属,4,400,48.9,48.9,19560.0,24.45,0.0,0.0,纳入持仓池
2020-01-14,买入,002623,亚玛顿,其他,5,500,35.67,35.67,17835.0,22.29,0.0,0.0,纳入持仓池
2020-01-14,买入,002241,歌尔股份,电子,9,900,21.99,21.99,19791.0,24.74,0.0,0.0,纳入持仓池
2020-01-14,买入,300643,万通智控,汽车,9,900,21.8,21.8,19620.0,24.53,0.0,0.0,纳入持仓池
2020-01-14,买入,300782,卓胜微,电子,0,0,432.93,432.93,0,0,0.0,0.0,"资金不足一手（需43,293元，分配20,000元）"
2020-01-14,买入,002156,通富微电,电子,10,1000,18.57,18.57,18570.0,23.21,0.0,0.0,纳入持仓池
2020-01-14,买入,603129,春风动力,汽车,3,300,50.51,50.51,15153.0,18.94,0.0,0.0,纳入持仓池
2020-01-14,买入,300113,顺网科技,传媒,6,600,31.92,31.92,19152.0,23.94,0.0,0.0,纳入持仓池
2020-01-14,买入,300088,长信科技,电子,17,1700,11.5,11.5,19550.0,24.44,0.0,0.0,纳入持仓池
2020-01-23,卖出,300783,三只松鼠,食品饮料,2,200,68.98,61.55,12310.0,15.39,-1501.39,-10.77,移出持仓池
2020-01-23,卖出,002201,九鼎新材,建筑材料,9,900,21.1,18.95,17055.0,21.32,-1956.32,-10.19,移出持仓池
2020-01-23,卖出,002850,科达利,电力设备,3,300,54.99,54.4,16320.0,20.4,-197.4,-1.07,移出持仓池
2020-01-23,卖出,603598,引力传媒,传媒,9,900,20.5,17.3,15570.0,19.46,-2899.46,-15.61,移出持仓池
2020-01-23,卖出,002623,亚玛顿,其他,5,500,35.67,32.59,16295.0,20.37,-1560.37,-8.63,移出持仓池
2020-01-23,卖出,002241,歌尔股份,电子,9,900,21.99,23.61,21249.0,26.56,1431.44,7.37,移出持仓池
2020-01-23,卖出,300643,万通智控,汽车,9,900,21.8,19.05,17145.0,21.43,-2496.43,-12.61,移出持仓池
2020-01-23,卖出,603129,春风动力,汽车,3,300,50.51,46.0,13800.0,17.25,-1370.25,-8.93,移出持仓池
2020-01-23,卖出,300113,顺网科技,传媒,6,600,31.92,30.1,18060.0,22.57,-1114.57,-5.7,移出持仓池
2020-01-23,买入,000700,模塑科技,其他,16,1600,12.29,12.29,19664.0,24.58,0.0,0.0,纳入持仓池
2020-01-23,买入,000818,航锦科技,基础化工,7,700,28.4,28.4,19880.0,24.85,0.0,0.0,纳入持仓池
2020-01-23,买入,002555,三七互娱,传媒,6,600,32.41,32.41,19446.0,24.31,0.0,0.0,纳入持仓池
2020-01-23,买入,300460,ST惠伦,电子,8,800,22.53,22.53,18024.0,22.53,0.0,0.0,纳入持仓池
2020-01-23,买入,603825,ST华扬,传媒,7,700,27.02,27.02,18914.0,23.64,0.0,0.0,纳入持仓池
2020-01-23,买入,002791,坚朗五金,建筑材料,4,400,41.85,41.85,16740.0,20.93,0.0,0.0,纳入持仓池
2020-01-23,买入,300456,赛微电子,电子,6,600,30.2,30.2,18120.0,22.65,0.0,0.0,纳入持仓池
2020-01-23,买入,603920,世运电路,电子,6,600,29.6,29.6,17760.0,22.2,0.0,0.0,纳入持仓池
2020-01-23,买入,603160,汇顶科技,电子,0,0,338.06,338.06,0,0,0.0,0.0,"资金不足一手（需33,806元，分配20,000元）"
2020-01-23,买入,601689,拓普集团,汽车,8,800,22.99,22.99,18392.0,22.99,0.0,0.0,纳入持仓池
2020-01-23,持有,300598,诚迈科技,计算机,1,100,178.96,202.39,--,--,2343.0,13.09,继续持有
