代码,名称,行业,建仓日期,建仓价(元),手数(手),股数(股),建仓金额(元),今日收盘价(元),今日市值(元),持仓天数,浮动盈亏(元),涨跌幅(%),状态,备注
300394,天孚通信,通信,2026-05-11,331.92,1,100,33192.0,399.99,39999.0,4,6807.0,20.51,正常,超2万(最小1手)
300757,罗博特科,机械设备,2026-05-11,512.3,1,100,51230.0,589.98,58998.0,4,7768.0,15.16,正常,超2万(最小1手)
300308,中际旭创,通信,2026-05-11,940.13,1,100,94013.0,1049.87,104987.0,4,10974.0,11.67,正常,超2万(最小1手)
301200,大族数控,机械设备,2026-05-11,201.91,1,100,20191.0,221.95,22195.0,4,2004.0,9.93,正常,
300502,新易盛,通信,2026-05-11,563.7,1,100,56370.0,610.05,61005.0,4,4635.0,8.22,正常,超2万(最小1手)
002008,大族激光,机械设备,2026-05-11,134.27,1,100,13427.0,143.3,14330.0,4,903.0,6.73,正常,
301308,江波龙,电子,2026-05-11,556.66,1,100,55666.0,590.52,59052.0,4,3386.0,6.08,正常,超2万(最小1手)
002916,深南电路,电子,2026-05-11,333.52,1,100,33352.0,,33352.0,4,0.0,0.0,无数据,超2万(最小1手)
300476,胜宏科技,电子,2026-05-11,378.24,1,100,37824.0,,37824.0,4,0.0,0.0,无数据,超2万(最小1手)
002080,中材科技,建筑材料,2026-05-11,63.08,3,300,18924.0,,18924.0,4,0.0,0.0,无数据,
002837,英维克,机械设备,2026-05-11,102.16,1,100,10216.0,,10216.0,4,0.0,0.0,无数据,
300857,协创数据,电子,2026-05-11,283.94,1,100,28394.0,,28394.0,4,0.0,0.0,无数据,超2万(最小1手)
002281,光迅科技,通信,2026-05-11,198.79,1,100,19879.0,196.49,19649.0,4,-230.0,-1.16,正常,
301358,湖南裕能,电力设备,2026-05-11,98.35,2,200,19670.0,95.48,19096.0,4,-574.0,-2.92,正常,
688525,佰维存储,电子,2026-05-11,315.69,1,100,31569.0,306.3,30630.0,4,-939.0,-2.97,正常,超2万(最小1手)
300604,长川科技,电子,2026-05-11,218.41,1,100,21841.0,209.5,20950.0,4,-891.0,-4.08,正常,
002353,杰瑞股份,其他,2026-05-11,144.72,1,100,14472.0,137.86,13786.0,4,-686.0,-4.74,正常,
601872,招商轮船,交通运输,2026-05-11,18.37,10,1000,18370.0,17.44,17440.0,4,-930.0,-5.06,正常,
600673,东阳光,综合,2026-05-11,39.02,5,500,19510.0,36.51,18255.0,4,-1255.0,-6.43,正常,
600522,中天科技,通信,2026-05-11,43.86,4,400,17544.0,40.99,16396.0,4,-1148.0,-6.54,正常,
002384,东山精密,电子,2026-05-11,218.3,1,100,21830.0,203.35,20335.0,4,-1495.0,-6.85,正常,超2万(最小1手)
000657,中钨高新,有色金属,2026-05-11,60.64,3,300,18192.0,56.46,16938.0,4,-1254.0,-6.89,正常,
600487,亨通光电,通信,2026-05-11,74.99,2,200,14998.0,69.8,13960.0,4,-1038.0,-6.92,正常,
300751,迈为股份,电力设备,2026-05-11,285.88,1,100,28588.0,260.14,26014.0,4,-2574.0,-9.0,正常,超2万(最小1手)
600176,中国巨石,建筑材料,2026-05-11,38.01,5,500,19005.0,33.86,16930.0,4,-2075.0,-10.92,正常,
688702,盛科通信,其他,2026-05-11,320.02,1,100,32002.0,285.0,28500.0,4,-3502.0,-10.94,正常,超2万(最小1手)
300390,天华新能,电力设备,2026-05-11,105.5,1,100,10550.0,93.65,9365.0,4,-1185.0,-11.23,正常,
688387,信科移动,通信,2026-05-11,22.45,9,900,20205.0,19.81,17829.0,4,-2376.0,-11.76,正常,
300136,信维通信,电子,2026-05-11,115.57,1,100,11557.0,99.61,9961.0,4,-1596.0,-13.81,正常,
600118,中国卫星,国防军工,2026-05-11,116.11,1,100,11611.0,95.82,9582.0,4,-2029.0,-17.47,正常,
【合计】,,,,,64,6400,804192.0,,814892.0,4,10700.0,1.33,盈利,
